                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                0.97591,                0.87281,                 1.5773,                0.88088,                0.83197,                0.90185,                0.73111,                0.79886,                0.76762,                 1.5366,              0.0008516,              0.0008516,              0.0008516
                     60,                 0.9782,                 0.8374,                 1.5517,                0.88902,                   0.85,                0.90362,                0.73561,                0.81222,                0.74133,                 1.5238,              0.0008318,              0.0008318,              0.0008318
                     61,                 0.9866,                0.84076,                 1.5408,                 0.8819,                0.84012,                0.90732,                0.74586,                0.79673,                0.71925,                  1.518,               0.000812,               0.000812,               0.000812
                     62,                0.98224,                0.82626,                 1.5552,                0.84311,                0.87327,                0.90946,                0.72172,                0.78793,                0.90739,                 1.5036,              0.0007922,              0.0007922,              0.0007922
                     63,                0.96525,                0.82367,                 1.5453,                  0.909,                 0.8625,                0.93702,                0.73576,                0.81584,                0.80405,                 1.4856,              0.0007724,              0.0007724,              0.0007724
                     64,                0.91709,                0.80172,                 1.4949,                0.94258,                 0.8875,                0.93553,                0.77783,                0.74517,                   0.64,                 1.4455,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.0015,                0.88938,                 1.5442,                0.95799,                0.85526,                0.92908,                0.75865,                0.73774,                0.70396,                 1.4674,              0.0007328,              0.0007328,              0.0007328
                     66,                0.93192,                0.80188,                 1.4936,                0.87369,                0.86462,                 0.9157,                0.77313,                0.70307,                0.67602,                 1.4457,               0.000713,               0.000713,               0.000713
                     67,                 0.9293,                0.78492,                 1.5034,                0.92452,                 0.8375,                0.91246,                0.77478,                0.72537,                0.71699,                 1.4514,              0.0006932,              0.0006932,              0.0006932
                     68,                0.91334,                0.78437,                  1.512,                0.93381,                0.88181,                0.92854,                0.77631,                0.71872,                0.64403,                 1.4505,              0.0006734,              0.0006734,              0.0006734
                     69,                0.88908,                0.77399,                 1.4496,                0.90939,                0.87824,                0.93946,                0.78134,                0.70916,                0.65246,                 1.4089,              0.0006536,              0.0006536,              0.0006536
                     70,                0.90266,                0.74776,                 1.4717,                0.85945,                0.84085,                0.91989,                0.75267,                0.76147,                0.68193,                 1.4632,              0.0006338,              0.0006338,              0.0006338
                     71,                0.87335,                0.74277,                  1.471,                0.95553,                    0.9,                0.94254,                0.76405,                0.71541,                0.79318,                 1.3777,               0.000614,               0.000614,               0.000614
                     72,                0.90743,                0.75437,                 1.4758,                 0.9367,                 0.8625,                0.94491,                0.77101,                0.76784,                  0.628,                 1.4384,              0.0005942,              0.0005942,              0.0005942
                     73,                0.89687,                0.73062,                  1.458,                0.94599,                 0.8875,                0.94353,                0.76218,                0.75721,                0.64127,                  1.437,              0.0005744,              0.0005744,              0.0005744
                     74,                0.88919,                0.72142,                 1.4611,                0.98606,                0.88427,                0.96026,                0.77447,                0.74614,                0.64423,                 1.4344,              0.0005546,              0.0005546,              0.0005546
                     75,                0.87838,                0.70387,                 1.4601,                0.86595,                  0.875,                0.91828,                0.76209,                0.72479,                0.67931,                 1.4139,              0.0005348,              0.0005348,              0.0005348
                     76,                0.85714,                0.70977,                  1.414,                 0.9452,                   0.85,                0.93186,                0.76733,                0.76246,                0.67579,                  1.453,               0.000515,               0.000515,               0.000515
